Project:,Smoky Mountains Hiking Club Handbook,Lead:,Ken Wise,Metadata creator:,Undetermined,Date:,7/1/2015-11/3/2015,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
identifier_file,title,title_other,abstract,date_text,date_key,collection,collection_identifier,call_number,shelf_locator,extent,form,language,subject_geographic,subject_geographic 2,subject_geographic 3,subject_geographic 4,subject_name,subject_name 2,project_title,repository,rights,public_note,public_note 2,digital_origin,item_type
filename,"Title of object. Transcribe as found, construct a descriptive title if no title exists.",Alterrnate title of object.,"Content-specific note. For other notes, use public_note.","Date of creation. Use description if date is unclear/uncertain (i.e. approximate 1890, 1890?, or [1890] if the date is inferred). If there are no dates, use 'Unknown'.",,Title of the archival/physical collection the object belongs to. Take title from SCOUT if exists.,SCOUT identifier for the archival/physical collection.,,"Enter box/folder, call number or other locational information for the physical object. Optional.",Enter information about the physical extent of an item including dimensions. Specify the unit of measurement. Optional.,Choose from drop-down.,"Code 'eng' for English, 'zxx' for objects with no linguistic content.","A geographic place represented/depicted in the content of the object. For where the object originated, use place_of_origin.",Repeated subject geographic field to show how to repeat.,,,"A named entity (person or organization) represented/depicted in the content of the object. For an entity that created/produced the object, use name. Format names as so: Last Name, First Name Middle Name, Life Dates. Include as much as possible. Example: Smith, John Quincy, 1700-1800",Repeated subject name field.,The title of the digital project/collection.,Used the LCNAF form of the repository (the place the physical item is held) name.,Choose from drop down.,Any non-content specific notes about the object (i.e. notes that don't fit into abstract).,repeated column for more notes.,,
HikingClub_photos_0021,Eating Lunch on Mt. Harrison Feb 4-5-1928 (image number 37),,,2/4-5/1928,1928-02-04/1928-02-05,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,Mount Harrison,,,Smoky Mountains Hiking Club,"Roth, Albert, 1890-1974",Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title is from information on back of photograph.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0027,At Neubert Spring instead of Cherokee Bluff May 20-1928 (image number 99),,,5/20/1928,1928-05-20,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,Neubert Springs ,,,Smoky Mountains Hiking Club,"Roth, Albert, 1890-1974",Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title is from information on back of photograph.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0040,Cascades on way to Guyot Aug 31 - Sept 1-2-1929 (image number 338),,,8/31-9/1-2/1929,1929-08-31/1929-09-02,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,Mount Guyot,Ramsey Prong,,Smoky Mountains Hiking Club,"Roth, Albert, 1890-1974",Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title is from information on back of photograph.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0051,Indian Gap Hotel & Chimneys Jan 12-1930 (image number 402),,,1/12/1930,1930-01-12,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,Chimney Tops,Indian Gap Hotel,,Smoky Mountains Hiking Club,"Roth, Albert, 1890-1974",Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title is from information on back of photograph.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0082,On top of Thunderhead or Laurel Top April 11-12-1931 (image number 717),,,4/11-12/1931,1931-04-11/1931-04-12,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,Thunderhead Mountain,,,Smoky Mountains Hiking Club,"Roth, Albert, 1890-1974",Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title is from information on back of photograph.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0085,On Myrtle Point on away across Huggins Hell May 2-3-1931 (image number 735),,,5/2-3/1931,1931-05-02/1931-05-03,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,Myrtle Point,Huggins Hell,Mount Le Conte,Smoky Mountains Hiking Club,"Roth, Albert, 1890-1974",Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title is from information on back of photograph.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0008,Club on top of Look Rock on way to Abrams Falls Jan 7-8-1928 (image number 32],,"Jim Thompson, 6th from the left",1/8/1928,1928-01-08,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,Look Rock,,,Smoky Mountains Hiking Club,"Thompson, Jim",Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title is from information on back of photograph.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0001,Hiker in the Smokies (image number 617),,,1928-1931,1928/1931,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,,,,Smoky Mountains Hiking Club,,Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title created from image details.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
HikingClub_photos_0002,Distant View from the Smokies (image number 620),,,1928-1931,1928/1931,Smoky Mountains Hiking Club Records,MS.0423,,Box 1,3.5 x 5.75 inches,photographs,eng-English,Great Smoky Mountains,,,,Smoky Mountains Hiking Club,,Smoky Mountains Hiking Club Handbooks,"University of Tennessee, Knoxville. Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Title created from image details.,Collection donated by Laura E. and Ella Luttrell,reformatted digital,still image
